h0,h1,h2,h3,h4,h5,h6,shape
3.127490304,6.77970118,15.61906047,16.7131403,33.05583268,20.50637444,-33.00647718,OVAL
3.127490304,6.77970118,15.61906047,16.7131403,33.05583268,20.50637444,-33.00647718,OVAL
3.127490304,6.77970118,15.61906047,16.7131403,33.05583268,20.50637444,-33.00647718,OVAL
3.127490304,6.77970118,15.61906047,16.7131403,33.05583268,20.50637444,-33.00647718,OVAL
3.127490304,6.77970118,15.61906047,16.7131403,33.05583268,20.50637444,-33.00647718,OVAL
3.127490304,6.77970118,15.61906047,16.7131403,33.05583268,20.50637444,-33.00647718,OVAL
3.127490304,6.77970118,15.61906047,16.7131403,33.05583268,20.50637444,-33.00647718,OVAL
3.12223895,6.746128779,14.59040808,15.87364142,-31.17603966,-19.29182958,-31.38457606,OVAL
3.12223895,6.746128779,14.59040808,15.87364142,-31.17603966,-19.29182958,-31.38457606,OVAL
3.12223895,6.746128779,14.59040808,15.87364142,-31.17603966,-19.29182958,-31.38457606,OVAL
3.12223895,6.746128779,14.59040808,15.87364142,-31.17603966,-19.29182958,-31.38457606,OVAL
3.12223895,6.746128779,14.59040808,15.87364142,-31.17603966,-19.29182958,-31.38457606,OVAL
3.12223895,6.746128779,14.59040808,15.87364142,-31.17603966,-19.29182958,-31.38457606,OVAL
3.12223895,6.746128779,14.59040808,15.87364142,-31.17603966,-19.29182958,-31.38457606,OVAL
3.062922226,6.475797347,12.20999612,13.1892938,-25.89508937,-16.42780511,-26.66592526,OVAL
3.062922226,6.475797347,12.20999612,13.1892938,-25.89508937,-16.42780511,-26.66592526,OVAL
3.062922226,6.475797347,12.20999612,13.1892938,-25.89508937,-16.42780511,-26.66592526,OVAL
3.062922226,6.475797347,12.20999612,13.1892938,-25.89508937,-16.42780511,-26.66592526,OVAL
3.062922226,6.475797347,12.20999612,13.1892938,-25.89508937,-16.42780511,-26.66592526,OVAL
3.062922226,6.475797347,12.20999612,13.1892938,-25.89508937,-16.42780511,-26.66592526,OVAL
3.062922226,6.475797347,12.20999612,13.1892938,-25.89508937,-16.42780511,-26.66592526,OVAL
3.003977584,6.313133216,11.31677058,12.02886263,-23.89000648,-15.31839013,23.82000008,OVAL
3.003977584,6.313133216,11.31677058,12.02886263,-23.89000648,-15.31839013,23.82000008,OVAL
3.003977584,6.313133216,11.31677058,12.02886263,-23.89000648,-15.31839013,23.82000008,OVAL
3.003977584,6.313133216,11.31677058,12.02886263,-23.89000648,-15.31839013,23.82000008,OVAL
3.003977584,6.313133216,11.31677058,12.02886263,-23.89000648,-15.31839013,23.82000008,OVAL
3.003977584,6.313133216,11.31677058,12.02886263,-23.89000648,-15.31839013,23.82000008,OVAL
3.003977584,6.313133216,11.31677058,12.02886263,-23.89000648,-15.31839013,23.82000008,OVAL
3.121512095,6.745929704,15.78114461,16.97380681,-33.60686394,-20.52551582,-33.43129324,OVAL
3.121512095,6.745929704,15.78114461,16.97380681,-33.60686394,-20.52551582,-33.43129324,OVAL
3.121512095,6.745929704,15.78114461,16.97380681,-33.60686394,-20.52551582,-33.43129324,OVAL
3.121512095,6.745929704,15.78114461,16.97380681,-33.60686394,-20.52551582,-33.43129324,OVAL
3.121512095,6.745929704,15.78114461,16.97380681,-33.60686394,-20.52551582,-33.43129324,OVAL
3.121512095,6.745929704,15.78114461,16.97380681,-33.60686394,-20.52551582,-33.43129324,OVAL
3.121512095,6.745929704,15.78114461,16.97380681,-33.60686394,-20.52551582,-33.43129324,OVAL
3.020179689,6.521893222,10.18921937,10.23349573,20.45142596,13.51128106,21.2076372,OVAL
3.020179689,6.521893222,10.18921937,10.23349573,20.45142596,13.51128106,21.2076372,OVAL
3.020179689,6.521893222,10.18921937,10.23349573,20.45142596,13.51128106,21.2076372,OVAL
3.020179689,6.521893222,10.18921937,10.23349573,20.45142596,13.51128106,21.2076372,OVAL
3.020179689,6.521893222,10.18921937,10.23349573,20.45142596,13.51128106,21.2076372,OVAL
3.020179689,6.521893222,10.18921937,10.23349573,20.45142596,13.51128106,21.2076372,OVAL
3.020179689,6.521893222,10.18921937,10.23349573,20.45142596,13.51128106,21.2076372,OVAL
3.108801433,6.670605273,15.19825425,15.95804467,31.56133992,19.34961498,-32.01679011,OVAL
3.108801433,6.670605273,15.19825425,15.95804467,31.56133992,19.34961498,-32.01679011,OVAL
3.108801433,6.670605273,15.19825425,15.95804467,31.56133992,19.34961498,-32.01679011,OVAL
3.108801433,6.670605273,15.19825425,15.95804467,31.56133992,19.34961498,-32.01679011,OVAL
3.108801433,6.670605273,15.19825425,15.95804467,31.56133992,19.34961498,-32.01679011,OVAL
3.108801433,6.670605273,15.19825425,15.95804467,31.56133992,19.34961498,-32.01679011,OVAL
3.108801433,6.670605273,15.19825425,15.95804467,31.56133992,19.34961498,-32.01679011,OVAL
3.139474452,6.865509393,13.47042447,14.83807155,-29.01927735,-18.29063012,-29.45869397,OVAL
3.139474452,6.865509393,13.47042447,14.83807155,-29.01927735,-18.29063012,-29.45869397,OVAL
3.139474452,6.865509393,13.47042447,14.83807155,-29.01927735,-18.29063012,-29.45869397,OVAL
3.139474452,6.865509393,13.47042447,14.83807155,-29.01927735,-18.29063012,-29.45869397,OVAL
3.139474452,6.865509393,13.47042447,14.83807155,-29.01927735,-18.29063012,-29.45869397,OVAL
3.139474452,6.865509393,13.47042447,14.83807155,-29.01927735,-18.29063012,-29.45869397,OVAL
3.139474452,6.865509393,13.47042447,14.83807155,-29.01927735,-18.29063012,-29.45869397,OVAL
3.103342891,6.640852007,14.8354572,15.66474254,30.93043422,19.00771944,-31.49452055,OVAL
3.103342891,6.640852007,14.8354572,15.66474254,30.93043422,19.00771944,-31.49452055,OVAL
3.103342891,6.640852007,14.8354572,15.66474254,30.93043422,19.00771944,-31.49452055,OVAL
3.103342891,6.640852007,14.8354572,15.66474254,30.93043422,19.00771944,-31.49452055,OVAL
3.103342891,6.640852007,14.8354572,15.66474254,30.93043422,19.00771944,-31.49452055,OVAL
3.103342891,6.640852007,14.8354572,15.66474254,30.93043422,19.00771944,-31.49452055,OVAL
3.103342891,6.640852007,14.8354572,15.66474254,30.93043422,19.00771944,-31.49452055,OVAL
3.10415112,6.647230099,14.29632981,15.61669561,31.95495236,19.96956658,-30.57358299,OVAL
3.10415112,6.647230099,14.29632981,15.61669561,31.95495236,19.96956658,-30.57358299,OVAL
3.10415112,6.647230099,14.29632981,15.61669561,31.95495236,19.96956658,-30.57358299,OVAL
3.10415112,6.647230099,14.29632981,15.61669561,31.95495236,19.96956658,-30.57358299,OVAL
3.10415112,6.647230099,14.29632981,15.61669561,31.95495236,19.96956658,-30.57358299,OVAL
3.10415112,6.647230099,14.29632981,15.61669561,31.95495236,19.96956658,-30.57358299,OVAL
3.10415112,6.647230099,14.29632981,15.61669561,31.95495236,19.96956658,-30.57358299,OVAL
3.142495086,6.892406564,13.64210065,15.8295571,-31.04531937,-19.47483767,30.59061326,OVAL
3.142495086,6.892406564,13.64210065,15.8295571,-31.04531937,-19.47483767,30.59061326,OVAL
3.142495086,6.892406564,13.64210065,15.8295571,-31.04531937,-19.47483767,30.59061326,OVAL
3.142495086,6.892406564,13.64210065,15.8295571,-31.04531937,-19.47483767,30.59061326,OVAL
3.142495086,6.892406564,13.64210065,15.8295571,-31.04531937,-19.47483767,30.59061326,OVAL
